GeneID	Normal 6	Tumor 6	Normal 10	Tumor 10	Normal 9	Tumor 9	Normal 5	Tumor 5	Normal 8	Tumor 8	Normal 3	Tumor 3	Normal 2	Tumor 2	Normal 1	Tumor 1	Normal 4	Tumor 4	Normal 7	Tumor 7
SNORD121B	2.169938983	2.933103832	1.36692751	3.540609922	1.065534212	1.461295118	0.75068991	1.610071126	1.24222803	2.878455951	2.088572121	2.216189791	0	0.906143522	0	0.751207001	0.825257769	3.00718353	3.122717235	6.607239358
HTR4	0.802507479	0.012952219	0.407442199	0.125079121	1.082211103	0	0.232046685	0.071098725	0.082282852	0.593175383	0.553372378	0.293592499	0.174279648	0.140049572	0.29716894	0.033172361	0.601298772	0.06639673	0.482633491	3.673617025
SNORD121A	1.883793183	3.564849273	4.153356664	2.458973044	2.775072619	8.880178026	2.606791336	6.289893246	2.15683548	0	0	4.809862458	3.806914418	3.933260341	0	0	1.432865138	1.305315928	9.03643449	9.386108259
HTR6	0.025298875	0.04103575	0	0.016511699	0	0	0.035008561	0.056314471	0.028965766	0.022372887	0.048700472	0.025838104	0	0.084516338	0.209222839	0.052549014	0	0.052590208	0.024271415	0.028011802
HTR7	0.909111724	0.290769003	1.0647087	0.200567565	0.528150959	0.03449128	0.76190428	0.62704742	0.791655927	0.02264695	0.969508481	0.418473842	0.765932527	0.427758221	0.453826653	0.159578183	0.292181194	0.195192896	0.368531015	0.05670988
LOC100132330	1.038940483	0	1.963404969	1.695201114	0	0	0	0	1.189527447	0	0.999983015	0.530542404	0.419914196	0	0	0	0	0	0	0
BBX	17.11877487	10.39316499	21.352165	16.48806136	22.1705497	18.18935967	22.52585439	20.97846857	18.73555155	11.4559889	17.28280894	23.88058071	30.10191558	18.04505755	16.20782681	16.99808729	17.48897238	18.70268232	16.72876819	12.27705271
RP11-48F14.1	0	0.020193046	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.025878813	0	0
LOC100421505	0	0	0	0	0	0	0.049919615	0	0	0	0.04629551	0	0	0	0	0	0	0	0	0
WDR83OS	26.77896244	22.06811455	21.82321202	21.70093691	20.23772471	19.3074254	26.10500185	33.0176781	18.12267861	20.16033551	22.93224697	14.3357364	11.66834745	15.29814429	17.93581617	14.6812546	23.5490803	13.03724079	21.87111014	31.24887262
LOC100421508	0	0.064365334	0	0	0.233825563	0	0	0	0	0.105276861	0	0	0.192460673	0.099424081	0.210966362	0.247272305	0	0	0	0.131811088
LOC100421509	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DHDH	0.039645046	8.145400281	0	0.569248848	0.077869753	0.427168601	0.438886238	0.411826703	0.45391311	2.313948401	0.30526771	0.242940324	0.064094211	0.728435449	0.468380453	1.043072811	0.180930704	0.384591233	0.380349463	0.570653
LOC100421504	0.027401723	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.05257772	0
